0xFCA2E7;0xE61E;DB_DIRECT_LINK_BIG_ICN
0x9F808D;0xE61F;DB_DIRECT_LINK_SMALL_ICN
0xFC0D7B;0xE620;DB_EMPTY_ICN
0x10EB26;0xE621;DB_ENTERTAINMENT_DIRECTORY_ICN
0xC82C02;0xE622;DB_ERROR_ICN
0xAA8CC0;0xE623;DB_FOLDER_MM_ICN
0x05DEA9;0xE624;DB_GAMES_DIRECTORY_ICN
0xA311EB;0xE625;DB_GAMES_MM_ICN
0xB04BC9;0xE626;DB_IAPPLI_DIRECTORY_ICN
0xC649C6;0xE627;DB_IAPPLI_MM_ICN
0xDD6F00;0xE628;DB_IMAGES_DIRECTORY_ICN
0x8F7B9D;0xE629;DB_IMAGES_MM_ICN
0x785220;0xE62A;DB_INPUT_NEW_FOLDER_ICN
0xFFFBB3;0xE62B;DB_JAVA_DIRECTORY_ICN
0x2A5755;0xE62C;DB_JAVA_MM_ICN
0x997DA6;0xE62D;DB_LIST_BOOKMARK_ICN
0x1D314E;0xE62E;DB_LIST_DRM_LOCKED_ICN
0x91DE17;0xE62F;DB_LIST_DRM_UNLOCKED_ICN
0x22E483;0xE630;DB_LIST_FOLDER_ICN
0x815CB0;0xE631;DB_LIST_FOLDER_STRUCTURE_LAST_ICN
0xDE5AC2;0xE632;DB_LIST_FOLDER_STRUCTURE_MULTI_ICN
0xA0FAAC;0xE633;DB_LIST_JAVA_ICN
0x6726AE;0xE634;DB_LIST_MEMORYSTICK_DRM_LOCKED_ICN
0xEFD9B6;0xE635;DB_LIST_MEMORYSTICK_DRM_UNLOCKED_ICN
0x412EF0;0xE636;DB_LIST_MEMORYSTICK_ICN
0xA0A14D;0xE637;DB_LIST_NEW_FOLDER_ICN
0xBBACCB;0xE638;DB_LIST_OTHER_ICN
0x20A4AC;0xE639;DB_LIST_PICTURE_ICN
0x98E2F0;0xE63A;DB_LIST_RUNNING_APP_ICN
0x6E74A0;0xE63B;DB_LIST_SAVED_PAGE_ICN
0x3F6E80;0xE63C;DB_LIST_SOUND_3GP_ICN
0x3FF815;0xE63D;DB_LIST_SOUND_AAC_ICN
0x3FFF02;0xEA01;DB_LIST_SOUND_AMR_ICN
0x3FFD96;0xEA02;DB_LIST_SOUND_ASF_ICN
0x3FF292;0xEA03;DB_LIST_SOUND_AWB_ICN
0x6A3C75;0xEA04;DB_LIST_SOUND_EMELODY_ICN
0x6BFC75;0xEA05;DB_LIST_SOUND_IMELODY_ICN
0x3E3B93;0xEA06;DB_LIST_SOUND_M4A_ICN
0x3E394B;0xEA07;DB_LIST_SOUND_MFI_ICN
0x5663EE;0xEA08;DB_LIST_SOUND_MIDI_ICN
0x3E3CDA;0xEA09;DB_LIST_SOUND_MP3_ICN
0x3E3CDD;0xEA0A;DB_LIST_SOUND_MP4_ICN
0x63A229;0xEA0B;DB_LIST_SOUND_REAL_ICN
0x3EEEFA;0xEA0C;DB_LIST_SOUND_RHZ_ICN
0x7E2233;0xEA0D;DB_LIST_SOUND_SMAF_ICN
0x3D5806;0xEA0E;DB_LIST_SOUND_WAV_ICN
0x3D5F13;0xEA0F;DB_LIST_SOUND_WMA_ICN
0x3D4F16;0xEA10;DB_LIST_SOUND_XMF_ICN
0x3F47FA;0xEA11;DB_LIST_STREAMING_REAL_ICN
0x8A5ADB;0xEA12;DB_LIST_THEME_ICN
0x56D565;0xEA13;DB_LIST_WEB_ICN
0x16CBC0;0xEA14;DB_LIST_VIDEO_ASF_ICN
0x7FF078;0xEA15;DB_LIST_VIDEO_FILE_ICN
0x17F0E2;0xEA16;DB_LIST_VIDEO_LINK_ICN
0x2E37A3;0xEA17;DB_LIST_VIDEO_REAL_ICN
